Div,Subulussalam,Aceh,Indonesia,2015,2016,2017,2018,2019,2020
E0,Kemiskinan,-,-,20.39,19.57,19.71,18.51,17.95,17.60
E0,Pengangguran,-,-,8.24,0.00,4.91,6.49,7.25,6.93
E0,-,Kemiskinan,-,17.09,16.58,16.40,15.82,15.16,15.21
E0,-,Pengangguran,-,9.93,7.57,6.57,6.34,6.17,6.59
E0,-,-,Kemiskinan,11.17,10.78,10.38,9.74,9.31,9.98
E0,-,-,Pengangguran,6.12,5.55,5.40,5.30,5.23,7.07
E0,PDRBHB,-,-,"1,295.11","1,400.47","1,535.46","1,622.89","1,726.92","1,804.17"
E0,PertumbuhanEkonomi,-,-,4.42,4.69,4.93,4.42,4.42,1.97
E0,PDRBHK,-,-,"1,134.37","1,187.58","1,246.11","1,301.17","1,358.68","1,385.41"
E0,-,PDRBHB,-,"129,092.70","136,843.80","145,806.90","155,911.10","164,167.60","166,377.30"
E0,-,PertumbuhanEkonomi,-,-0.73,3.29,4.18,4.61,4.14,-0.37
E0,-,PDRBHK,-,"112,665.50","116,374.30","121,241.00","126,824.40","132,074.30","131,585.00"
E0,-,-,PDRBHB,"11,526,332.80","12,401,728.50","13,589,825.70","14,838,311.50","15,833,943.40","15,434,151.80"
E0,-,-,PertumbuhanEkonomi,4.88,5.03,5.07,5.17,5.02,-2.07
E0,-,-,PDRBHK,"8,982,517.10","9,434,613.40","9,912,928.10","10,425,397.30","10,949,243.70","10,722,442.70"
E0,Penduduk,-,-,"75,188","77,084","78,725","80,215","81,417","82,390"
E0,-,Penduduk,-,"5,001,953","5,096,248","5,189,466","5,281,314","5,371,532","5,459,891"
E0,-,-,Penduduk,"255,587,900","258,496,500","261,355,500","264,161,600","266,911,900","269,603,400"
