Subulussalam,Aceh,Indonesia,2015,2016,2017,2018,2019,2020,2021
Kemiskinan,,,15250,14990,15440,14780,14560,14460,14460
,Kemiskinan,,851590,848440,872610,839490,819440,814910,834240
,,Kemiskinan,28590,28010,27770,25950,25140,26420,27540
Pengangguran,,,8.24,0,4.91,6.49,7.25,6.93,
,Pengangguran,,9.93,7.57,6.57,6.34,6.17,6.59,
,,Pengangguran,6.12,5.55,5.4,5.3,5.23,7.07,
PertumbuhanEkonomi,,,4.42,4.69,4.93,4.42,4.42,1.97,
,PertumbuhanEkonomi,,-0.73,3.29,4.18,4.61,4.14,-0.37,
,,PertumbuhanEkonomi,4.88,5.03,5.07,5.17,5.02,-2.07,
Penduduk,,,75188,77084,78725,80215,81417,82390,
,Penduduk,,5001953,5096248,5189466,5281314,5371532,5459891,
,,Penduduk,255588000,258497000,261356000,264162000,266912000,269603000,
IPM,,,6.78,6.88,7.12,7.39,7.58,7.84,
,IPM,,8.77,8.86,8.98,9.09,9.18,9.33,
,,IPM,7.84,8.95,8.1,8.17,8.34,8.48,
PersenMiskin,,,20.39,19.57,19.71,18.51,17.95,17.6,17.65
,PersenMiskin,,17.08,16.73,16.89,15.97,15.32,14.99,15.33
,,PersenMiskin,11.22,10.86,10.64,9.82,9.41,9.78,10.14
IndeksDalam,,,3.43,3.61,3.2,2.67,3.15,2.27,2.29
,IndeksDalam,,3.1,3.48,2.98,2.84,2.64,2.72,2.86
,,IndeksDalam,1.97,1.94,1.83,1.71,1.55,1.61,1.71
IndeksParah,,,0.91,0.98,0.94,0.56,0.79,0.44,0.48
,IndeksParah,,0.83,1,0.81,0.75,0.66,0.71,0.75
,,IndeksParah,0.54,0.52,0.48,0.44,0.37,0.38,0.42
GarisMiskin,,,244628,250408,273370,315453,351093,400517,418643
,GarisMiskin,,390150,410956,435454,464626,486935,522126,541109
,,GarisMiskin,330776,354386,374478,401220,425250,454652,472525
Gini,,,0.373,0.329,0.33,0.291,0.342,0.344,0.303
,Gini,,0.334,0.333,0.329,0.325,0.32,0.323,0.324
,,Gini,0.408,0.397,0.393,0.389,0.38,0.381,0.384
